Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
292.0,18.79999999999977,1.0,1.0,1.0,92.49515160366623
293.0,18.802739726027166,1.0,1.0,1.0,92.56270092869036
294.0,18.805479452054563,1.0,1.0,1.0,92.63035390977142
295.0,18.80821917808196,1.0,1.0,1.0,92.69801607183079
296.0,18.810958904109356,1.0,1.0,1.0,92.76450592434263
297.0,18.813698630136752,1.0,1.0,1.0,92.83110775756695
298.0,18.81643835616415,1.0,1.0,1.0,92.8985465500068
299.0,18.819178082191545,1.0,1.0,1.0,92.96588802563635
300.0,18.82191780821894,1.0,1.0,1.0,93.0338796444636
301.0,18.824657534246338,1.0,1.0,1.0,93.0795967812746
302.0,18.827397260273735,1.0,1.0,1.0,93.11976447666146
303.0,18.83013698630113,1.0,1.0,1.0,93.16007763096277
304.0,18.832876712328527,1.0,1.0,1.0,93.20031248797378
305.0,18.835616438355924,1.0,1.0,1.0,93.24039732391103
306.0,18.83835616438332,1.0,1.0,1.0,93.28113926048945
307.0,18.841095890410717,1.0,1.0,1.0,93.32177236030007
308.0,18.843835616438113,1.0,1.0,1.0,93.36154358204551
309.0,18.84657534246551,1.0,1.0,1.0,93.40129013443308
310.0,18.849315068492906,1.0,1.0,1.0,93.44182816618604
311.0,18.852054794520303,1.0,1.0,1.0,93.48229350718164
312.0,18.8547945205477,1.0,1.0,1.0,93.522166899028
313.0,18.857534246575096,1.0,1.0,1.0,93.56265609697827
314.0,18.860273972602492,1.0,1.0,1.0,93.60216055966684
315.0,18.86301369862989,1.0,1.0,1.0,93.641133166372
316.0,18.865753424657285,1.0,1.0,1.0,93.68214301365829
317.0,18.86849315068468,1.0,1.0,1.0,93.72284617917244
318.0,18.871232876712078,1.0,1.0,1.0,93.76382034250491
319.0,18.873972602739475,1.0,1.0,1.0,93.80371018565555
320.0,18.87671232876687,1.0,1.0,1.0,93.84423518778983
321.0,18.879452054794267,1.0,1.0,1.0,93.88417399431877
322.0,18.882191780821664,1.0,1.0,1.0,93.92427422822026
323.0,18.88493150684906,1.0,1.0,1.0,93.96443338884853
324.0,18.887671232876457,1.0,1.0,1.0,94.004050393615
325.0,18.890410958903853,1.0,1.0,1.0,94.04405107418154
326.0,18.89315068493125,1.0,1.0,1.0,94.08386817986636
327.0,18.895890410958646,1.0,1.0,1.0,94.12326763535508
328.0,18.898630136986043,1.0,1.0,1.0,94.16180620376869
329.0,18.90136986301344,1.0,1.0,1.0,94.20265047488459
330.0,18.904109589040836,1.0,1.0,1.0,94.24402213262877
331.0,18.906849315068232,1.0,1.0,1.0,94.28476894289273
332.0,18.90958904109563,1.0,1.0,1.0,94.32435661960017
333.0,18.912328767123025,1.0,1.0,1.0,94.36525257655687
334.0,18.91506849315042,1.0,1.0,1.0,94.40648027447828
335.0,18.917808219177818,1.0,1.0,1.0,94.44736915884977
336.0,18.920547945205215,1.0,1.0,1.0,94.48776590264558
337.0,18.92328767123261,1.0,1.0,1.0,94.52828511984606
338.0,18.926027397260007,1.0,1.0,1.0,94.56777964563501
339.0,18.928767123287404,1.0,1.0,1.0,94.60658099506078
340.0,18.9315068493148,1.0,1.0,1.0,94.64591066520724
341.0,18.934246575342197,1.0,1.0,1.0,94.68644445517933
342.0,18.936986301369593,1.0,1.0,1.0,94.72677706247109
343.0,18.93972602739699,1.0,1.0,1.0,94.7668563133698
344.0,18.942465753424386,1.0,1.0,1.0,94.80705714589341
345.0,18.945205479451783,1.0,1.0,1.0,94.84626841058027
346.0,18.94794520547918,1.0,1.0,1.0,94.88649444017057
347.0,18.950684931506576,1.0,1.0,1.0,94.92683724800659
348.0,18.953424657533972,1.0,1.0,1.0,94.9668992722417
349.0,18.95616438356137,1.0,1.0,1.0,95.00756604493317
350.0,18.958904109588765,1.0,1.0,1.0,95.04842903934372
351.0,18.96164383561616,1.0,1.0,1.0,95.08882719440598
352.0,18.964383561643558,1.0,1.0,1.0,95.12978777514314
353.0,18.967123287670955,1.0,1.0,1.0,95.17023969479656
354.0,18.96986301369835,1.0,1.0,1.0,95.21028091992818
355.0,18.972602739725748,1.0,1.0,1.0,95.25081849196724
356.0,18.975342465753144,1.0,1.0,1.0,95.2916505117643
357.0,18.97808219178054,1.0,1.0,1.0,95.33101529243076
358.0,18.980821917807937,1.0,1.0,1.0,95.37254926097548
359.0,18.983561643835333,1.0,1.0,1.0,95.4134194154537
360.0,18.98630136986273,1.0,1.0,1.0,95.45418821938418
361.0,18.989041095890126,1.0,1.0,1.0,95.49392417254623
362.0,18.991780821917523,1.0,1.0,1.0,95.53329298441966
363.0,18.99452054794492,1.0,1.0,1.0,95.57429399026304
364.0,18.997260273972316,1.0,1.0,1.0,95.61548914821022
365.0,18.999999999999712,1.0,1.0,1.0,95.65589017047719
366.0,19.00273972602711,1.0,1.0,1.0,95.69738682425559
367.0,19.005479452054505,1.0,1.0,1.0,95.73821597722828
368.0,19.0082191780819,1.0,1.0,1.0,95.77920620569036
369.0,19.010958904109298,1.0,1.0,1.0,95.82007975394343
370.0,19.013698630136695,1.0,1.0,1.0,95.86038319037984
371.0,19.01643835616409,1.0,1.0,1.0,95.9011255838323
372.0,19.019178082191488,1.0,1.0,1.0,95.94111240350425
373.0,19.021917808218884,1.0,1.0,1.0,95.98161835413867
